,entityid,domain,time_of_run,failed,reason_for_failure,file_path
355,64133,www.compliance360.com,2023-06-09 01:44:35,1,ConnectionError,
356,64134,www.midicorp.com,2023-06-09 01:44:36,1,ConnectionError,
357,64135,www.compliance11.com,2023-06-09 01:44:36,1,ConnectionError,
358,64136,www.complient.com,2023-06-09 01:44:36,1,ConnectionError,
359,64141,www.componentsource.com,2023-06-09 01:44:36,1,ConnectionError,
360,64144,www.compositesw.com,2023-06-09 01:44:36,1,ConnectionError,
361,64145,www.csllc.com,2023-06-09 01:44:36,1,ConnectionError,
362,64148,www.compoundphotonics.com,2023-06-09 01:44:36,1,ConnectionError,
363,64151,www.compoze.com,2023-06-09 01:44:36,1,ConnectionError,
364,64153,www.helpfinders.com,2023-06-09 01:44:36,1,ConnectionError,
365,64156,www.clmi-training.com,2023-06-09 01:44:36,1,ConnectionError,
366,64157,www.cnsclinicaltrials.com,2023-06-09 01:44:36,1,ConnectionError,
367,64161,www.compressionscience.com,2023-06-09 01:44:36,1,ConnectionError,
368,64163,www.comps.com,2023-06-09 01:44:36,1,ConnectionError,
